    0.0100    0.0100
   -0.0799   -0.0854
   -0.1672   -0.0464
    0.1434    0.1314
    0.0876    0.5003
    1.5819    1.3043
    1.8619    0.4723
    0.3283    0.8439
    1.5229    0.6909
    0.4878    0.7095
    0.8354    0.6532
    0.4107    0.4259
    0.8423    0.5977
    0.4882    0.7273
    0.8693    0.4704
    0.7544    0.9271
    0.5509    0.3536
    0.3405    0.5212
   -0.1476   -0.2395
   -0.1240   -0.0226
   -0.0882   -0.1421
    0.0832    0.4766
    0.2413    0.3855
    0.6398    0.5429
    0.7796    0.7079
    0.4017    0.4063
    0.6116    0.6213
   -0.0850    0.1189
   -0.1484    0.1990
   -0.1577    0.0254
    0.4494    0.7979
    0.6576    0.3212
   -0.0738    0.1098
    0.2437    0.2778
    0.1430    0.0998
    1.0891    0.9271
    0.0453    0.0468
    0.2523    0.3397
    0.2443    0.2355
    0.7313    0.5236
    0.4102    0.3382
    0.2369    0.3661
    0.3240    0.1967
    0.7356    0.5734
    0.4313    0.2868
    0.2688    0.4028
    0.5350    0.3391
    0.4027    0.3209
    0.6923    0.4808
    0.7387    0.6525
    0.9780    0.7825
    0.8942    0.6706
    0.9596    0.7705
    0.1190    0.2351
    0.3416    0.3029
   -0.3982   -0.2708
    0.1689    0.2204
   -0.0463    0.0914
    0.7226    0.7691
    1.0545    0.6044
    0.9450    0.8811
    1.0265    0.8464
    1.0065    0.7551
    0.2311    0.3277
    0.3307    0.2335
   -0.2088    0.0638
    0.1948    0.2762
    0.8792    0.7797
    1.0055    0.5121
    0.6674    0.7328
    0.4702    0.1862
    0.1348    0.1859
    0.3030    0.3007
    1.1222    0.6925
    0.6075    0.3701
    0.5929    0.5544
    0.3354    0.0982
    0.6254    0.3985
    1.2182    0.4925
    0.3554    0.3827
    0.5172    0.3168
    0.6620    0.2456
    0.9435    0.3745
    0.5321    0.4110
    0.5196    0.3263
    0.6072    0.2094
    0.9185    0.3511
    0.4676    0.3460
    0.5212    0.3307
    0.6090    0.1847
    0.6598    0.3134
    0.5259    0.2906
    0.5701    0.2427
    0.5794    0.1828
    0.6305    0.2023
    0.8800    0.3191
    0.8641    0.2580
   -0.0267    0.3867
   -0.5441   -0.3637
    0.4475    0.1579
