-86.0296 -86.0296
-88.9664 -88.9664
-90.2107 -90.2107
-90.3921 -90.3921
-92.0944 -92.0944
-92.8116 -92.8116
-91.0866 -91.0866
-88.7331 -88.7331
-88.4086 -88.4086
-88.4977 -88.4977
-88.5562 -88.5562
-88.8068 -88.8068
-88.9504 -88.9504
-88.9446 -88.9446
-88.9765 -88.9765
-89.0221 -89.0221
-88.7062 -88.7062
-88.5473 -88.5473
-88.6044 -88.6044
-88.0907 -88.0907
-88.71 -88.71
-89.2105 -89.2105
-88.0292 -88.0292
-86.8296 -86.8296
-84.8464 -84.8464
-83.7428 -83.7428
-83.3182 -83.3182
-82.9963 -82.9963
-82.8844 -82.8844
-82.8502 -82.8502
-82.6976 -82.6976
-82.5613 -82.5613
-82.4705 -82.4705
-82.3326 -82.3326
-82.581 -82.581
-82.0659 -82.0659
-82.282 -82.282
-82.9445 -82.9445
-82.7132 -82.7132
-82.6525 -82.6525
-82.4551 -82.4551
-82.3612 -82.3612
-82.6701 -82.6701
-82.7279 -82.7279
-82.8872 -82.8872
-82.854 -82.854
-82.849 -82.849
-82.9442 -82.9442
-83.0048 -83.0048
-83.0231 -83.0231
-82.8206 -82.8206
-83.1379 -83.1379
-82.8047 -82.8047
-83.0407 -83.0407
-83.7177 -83.7177
-84.0828 -84.0828
-84.2861 -84.2861
-84.2508 -84.2508
-84.3341 -84.3341
-84.4602 -84.4602
-84.6878 -84.6878
-84.2923 -84.2923
-83.7006 -83.7006
-82.8424 -82.8424
-82.2078 -82.2078
-81.8804 -81.8804
-81.9027 -81.9027
-81.8729 -81.8729
-81.2409 -81.2409
-81.1133 -81.1133
-81.3607 -81.3607
-81.3685 -81.3685
-81.0368 -81.0368
-80.2756 -80.2756
-79.535 -79.535
-79.6691 -79.6691
-78.5979 -78.5979
-77.568 -77.568
-76.2035 -76.2035
-74.9506 -74.9506
-73.9939 -73.9939
-73.453 -73.453
-72.9089 -72.9089
-72.7914 -72.7914
-72.0714 -72.0714
-70.8058 -70.8058
-70.5828 -70.5828
-70.4513 -70.4513
-70.454 -70.454
-70.3587 -70.3587
-70.1919 -70.1919
-69.6486 -69.6486
-68.9626 -68.9626
-67.9318 -67.9318
-66.9091 -66.9091
-65.9871 -65.9871
-65.5937 -65.5937
-65.4122 -65.4122
-65.2634 -65.2634
-64.9251 -64.9251
-64.7234 -64.7234
-64.019 -64.019
-63.6321 -63.6321
-63.6181 -63.6181
-63.7997 -63.7997
-63.8209 -63.8209
-63.8817 -63.8817
-64.3487 -64.3487
-64.8104 -64.8104
-65.17 -65.17
