#Step	accX	accY	posX	posY	Yaw	vX	vY	vYaw
78	0.00129393	-3.18166e-13	-1.05405e-17	0.79624	1.5708	1.50584	-1.31856e-15	5.80305e-15
79	0.00149958	2.17389e-13	-1.40733e-17	0.811314	1.5708	1.50586	8.55331e-16	-7.61177e-15
80	0.00163457	-9.37714e-14	-8.22888e-18	0.826388	1.5708	1.50588	-8.23823e-17	4.98064e-15
81	0.00170304	6.91116e-14	-7.62214e-18	0.841462	1.5708	1.50589	6.08734e-16	5.87695e-15
82	0.00172105	-3.42548e-14	-1.19575e-17	0.856535	1.5708	1.50591	2.66186e-16	8.82559e-15
83	0.00170747	1.57447e-13	-2.70171e-17	0.871609	1.5708	1.50593	1.84066e-15	-4.67649e-15
84	0.0016787	1.16528e-13	-5.03824e-17	0.886683	1.5708	1.50594	3.00594e-15	2.66105e-15
85	0.0016464	-4.03372e-13	-3.5084e-17	0.901757	1.5708	1.50596	-1.02778e-15	7.01892e-15
86	0.00161734	-3.66901e-14	-1.94636e-17	0.916831	1.5708	1.50598	-1.39468e-15	3.42444e-15
87	0.0015943	2.33389e-13	-2.21616e-17	0.931904	1.5708	1.50599	9.39205e-16	-2.29804e-15
88	0.00157742	-1.69134e-13	-1.12931e-17	0.946978	1.5708	1.50601	-7.5214e-16	5.35072e-15
89	0.00156545	-3.10022e-15	-1.14636e-19	0.962052	1.5708	1.50602	-7.83142e-16	4.16813e-16
90	0.00155669	2.61852e-14	1.17924e-17	0.977126	1.5708	1.50604	-5.2129e-16	1.42274e-15
91	0.00154954	5.65461e-14	1.13507e-17	0.992199	1.5708	1.50606	4.41708e-17	7.10709e-15
92	0.00154285	2.49668e-14	1.67799e-17	1.00727	1.5708	1.50607	2.93838e-16	-3.37013e-15
93	0.00153589	-1.18638e-13	2.40318e-17	1.02235	1.5708	1.50609	-8.92538e-16	1.35357e-14
94	0.00152835	1.41563e-13	2.21479e-17	1.03742	1.5708	1.5061	5.23094e-16	-7.06612e-15
95	0.00152018	-2.87854e-14	1.64484e-17	1.05249	1.5708	1.50612	2.3524e-16	2.44077e-15
96	0.00151149	-1.46233e-14	2.05789e-17	1.06757	1.5708	1.50613	8.90074e-17	-8.10983e-15
97	0.00150244	4.45186e-14	1.18899e-17	1.08264	1.5708	1.50615	5.34193e-16	7.55446e-15
98	0.0014932	8.36632e-14	-1.81833e-18	1.09772	1.5708	1.50616	1.37083e-15	-7.79636e-15
99	0.00148388	-3.96364e-14	-8.21589e-18	1.11279	1.5708	1.50618	9.74462e-16	-3.20022e-15
100	0.00147458	-1.01599e-13	-7.80058e-18	1.12786	1.5708	1.50619	-4.15316e-17	2.35314e-15
101	0.00146532	1.01398e-13	-1.25045e-17	1.14294	1.5708	1.50621	9.72453e-16	-2.77335e-15
102	0.00145611	-8.47688e-14	-1.54257e-17	1.15801	1.5708	1.50622	1.24765e-16	7.96189e-15
103	0.00144696	8.62589e-14	-2.19522e-17	1.17308	1.5708	1.50623	9.87354e-16	-7.53593e-15
104	0.00143785	-9.46914e-14	-1.56625e-17	1.18816	1.5708	1.50625	4.04396e-17	2.34918e-15
105	0.00142875	-1.17874e-13	-4.27946e-18	1.20323	1.5708	1.50626	-1.1383e-15	8.24536e-15
106	0.00141967	9.80173e-15	7.79693e-18	1.21831	1.5708	1.50628	-1.04029e-15	-1.97075e-15
107	0.00141058	7.7934e-14	1.5427e-17	1.23338	1.5708	1.50629	-2.60947e-16	-2.74443e-15
108	0.00140149	-3.7052e-14	2.50887e-17	1.24845	1.5708	1.50631	-6.31467e-16	7.99207e-15
109	0.00139239	1.80407e-14	3.62934e-17	1.26353	1.5708	1.50632	-4.5106e-16	5.72354e-16
110	0.00138329	1.57368e-13	3.17613e-17	1.2786	1.5708	1.50633	1.12262e-15	5.78915e-15
111	0.00137419	-4.64891e-14	3.18781e-17	1.29367	1.5708	1.50635	6.57731e-16	6.22781e-15
112	0.00136508	-6.22853e-14	3.82234e-17	1.30875	1.5708	1.50636	3.48784e-17	6.20536e-15
113	0.00135597	1.52203e-13	2.76748e-17	1.32382	1.5708	1.50637	1.55691e-15	6.21955e-15
114	0.00134686	3.401e-14	1.37253e-17	1.3389	1.5708	1.50639	1.89701e-15	6.28486e-15
115	0.00133775	-1.00626e-13	8.16484e-18	1.35397	1.5708	1.5064	8.90749e-16	6.40252e-15
116	0.00132864	1.08195e-13	-3.19456e-18	1.36904	1.5708	1.50641	1.9727e-15	7.99301e-16
117	0.00131953	-1.38814e-13	-1.23872e-17	1.38412	1.5708	1.50643	5.84558e-16	1.1363e-14
118	0.00131042	1.32219e-13	-2.47605e-17	1.39919	1.5708	1.50644	1.90675e-15	-9.89356e-15
119	0.00130132	-9.88736e-14	-2.89201e-17	1.41426	1.5708	1.50645	9.1801e-16	5.12365e-15
120	0.00129221	1.45046e-13	-4.59107e-17	1.42934	1.5708	1.50647	2.36847e-15	5.75898e-15
121	0.0012831	-2.1739e-13	-4.28359e-17	1.44441	1.5708	1.50648	1.94576e-16	3.48474e-15
122	0.00127399	-9.94863e-14	-2.98125e-17	1.45949	1.5708	1.50649	-8.00286e-16	3.23046e-15
123	0.00126488	-8.15125e-14	-6.96424e-18	1.47456	1.5708	1.5065	-1.61541e-15	3.19942e-15
124	0.00125578	-9.71766e-15	1.51822e-17	1.48963	1.5708	1.50652	-1.71259e-15	3.14651e-15
125	0.00124667	1.41059e-13	2.48963e-17	1.50471	1.5708	1.50653	-3.02e-16	3.08108e-15
126	0.00123756	7.39581e-14	2.38676e-17	1.51978	1.5708	1.50654	4.37581e-16	3.27323e-15
127	0.00122845	5.56876e-14	1.22495e-17	1.53486	1.5708	1.50655	9.94457e-16	-2.29819e-15
128	0.00121934	1.26741e-13	-7.0222e-18	1.54993	1.5708	1.50657	2.26187e-15	-1.39136e-14
129	0.00121023	-1.51562e-13	-1.44847e-17	1.565	1.5708	1.50658	7.4625e-16	-4.10004e-15
130	0.00120112	9.51293e-14	-2.97866e-17	1.58008	1.5708	1.50659	1.69754e-15	-9.08058e-15
131	0.00119201	-4.41604e-14	-3.56519e-17	1.59515	1.5708	1.5066	1.25594e-15	-9.1579e-15
132	0.00118291	-1.69055e-13	-2.46117e-17	1.61022	1.5708	1.50661	-4.34614e-16	1.60544e-15
133	0.0011738	4.18951e-14	-1.77609e-17	1.6253	1.5708	1.50663	-1.5663e-17	2.49878e-15
134	0.00116469	6.13362e-14	-1.36968e-17	1.64037	1.5708	1.50664	5.97699e-16	2.93211e-15
135	0.00115558	-1.87932e-13	9.16056e-18	1.65545	1.5708	1.50665	-1.28162e-15	8.54692e-15
136	0.00114647	7.28842e-14	1.97089e-17	1.67052	1.5708	1.50666	-5.52779e-16	8.99223e-15
137	0.00113736	7.83506e-14	2.07487e-17	1.68559	1.5708	1.50667	2.30727e-16	3.88816e-15
138	0.00112825	1.19679e-13	1.14941e-17	1.70067	1.5708	1.50668	1.42752e-15	-1.92502e-15
139	0.00111914	-2.30102e-14	4.54046e-18	1.71574	1.5708	1.50669	1.19742e-15	2.77286e-15
140	0.00111003	-1.27437e-13	8.65698e-18	1.73081	1.5708	1.50671	-7.69477e-17	3.06857e-15
141	0.00110092	-6.80969e-14	1.79097e-17	1.74589	1.5708	1.50672	-7.57916e-16	-2.27709e-15
142	0.00109181	1.40337e-13	1.48022e-17	1.76096	1.5708	1.50673	6.45453e-16	-8.43158e-15
