-0.126291	-0.889838	0.583005
-0.445923	-0.911871	0.217108
-0.727328	-0.929497	0.0408721
-0.904467	-0.943597	0.00153119
-1.00721	-0.954878	0.00273825
-1.06553	-0.963902	0.0103276
-1.09745	-0.971122	0.0159578
-1.1132	-0.976897	0.0185781
-1.11877	-0.981518	0.0188377
-1.11784	-0.985214	0.0175884
-1.11284	-0.988171	0.0155421
-1.10561	-0.990537	0.0132408
-1.09705	-0.99243	0.0109444
-1.08805	-0.993944	0.00885607
-1.07914	-0.995155	0.00705422
-1.07067	-0.996124	0.00555692
-1.0628	-0.996899	0.00434231
-1.05562	-0.997519	0.00337517
-1.04911	-0.998016	0.00261109
-1.04312	-0.998412	0.00199911
-1.03787	-0.99873	0.00153179
-1.03328	-0.998984	0.0011764
-1.02931	-0.999187	0.000907223
-1.02586	-0.99935	0.000702678
-1.02287	-0.99948	0.000547077
-1.01797	-0.999584	0.000338022
-1.00998	-0.999667	0.000106374
-0.989385	-0.98527	1.69341e-05
-0.924745	-0.876331	0.00234388
-0.749782	-0.541553	0.0433593
-0.448528	-0.233242	0.0463479
-0.105964	0.013406	0.0142492
0.192314	0.210725	0.000338982
0.421042	0.36858	0.00275229
0.58835	0.494864	0.00873956
0.223807	0.595891	0.138446
-0.0494572	0.676713	0.527323
-0.245615	0.661814	0.823427
-0.385843	0.510006	0.802545
-0.488554	0.341922	0.68969
-0.566028	0.178039	0.553636
-0.624883	0.0381053	0.439554
-0.668526	-0.0525288	0.379452
-0.699449	-0.116437	0.339903
-0.717663	-0.108578	0.370985
-0.724222	-0.108773	0.378778
-0.723223	-0.107142	0.379556
-0.715685	-0.104336	0.373747
-0.703245	-0.102317	0.361114
-0.687053	-0.0993043	0.345448
-0.670292	-0.153896	0.266665
-0.655121	-0.2456	0.167707
-0.641944	-0.353638	0.0831204
-0.631735	-0.457823	0.0302454
-0.624603	-0.554942	0.00485268
-0.620285	-0.643954	0.000560198
-0.618497	-0.715163	0.00934441
-0.618803	-0.77213	0.0235093
-0.620839	-0.817704	0.0387559
-0.624271	-0.854163	0.0528502
-0.628854	-0.883331	0.0647585
-0.634331	-0.906665	0.0741658
-0.640509	-0.925332	0.0811239
